trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",20,0,-57.21658969713076,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-111.72214837000917,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",20,0,-108.1290639245905,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",20,0,-117.55117091269692,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
